SubjectID TrialNum Amplitude Width StartPos TargetPos Time Success CursorPos (x, y)
13 2 444 100 (382,223) (743,483) 954 1 (783,495)
13 2 444 100 (382,223) (743,483) 965 1 (783,495)
13 2 444 100 (382,223) (743,483) 982 1 (783,495)
13 2 444 100 (382,223) (743,483) 1001 1 (783,495)
13 2 444 100 (382,223) (743,483) 1021 1 (783,495)
13 2 444 100 (382,223) (743,483) 1028 1 (783,495)
13 2 444 100 (382,223) (743,483) 1047 1 (783,495)
13 2 444 100 (382,223) (743,483) 1067 1 (783,495)
13 2 444 100 (382,223) (743,483) 1075 1 (783,495)
13 2 444 100 (382,223) (743,483) 1095 1 (783,495)
13 2 444 100 (382,223) (743,483) 1105 1 (783,495)
13 2 444 100 (382,223) (743,483) 1122 1 (783,495)
13 2 444 100 (382,223) (743,483) 1138 1 (783,495) ß-- cursor position when the target is clicked
13 3 444 200 (341,199) (718,434) 4 1 (346,197) ß-- cursor position when the start button is clicked.
13 3 444 200 (341,199) (718,434) 23 1 (346,197)
13 3 444 200 (341,199) (718,434) 43 1 (346,197)
13 3 444 200 (341,199) (718,434) 52 1 (346,197)
13 3 444 200 (341,199) (718,434) 71 1 (346,197)
13 3 444 200 (341,199) (718,434) 82 1 (346,197)
13 3 444 200 (341,199) (718,434) 98 1 (346,197)
13 3 444 200 (341,199) (718,434) 112 1 (346,197)
13 3 444 200 (341,199) (718,434) 132 1 (350,199)
13 3 444 200 (341,199) (718,434) 156 1 (368,209)
13 3 444 200 (341,199) (718,434) 159 1 (368,209)
13 3 444 200 (341,199) (718,434) 180 1 (411,229)
13 3 444 200 (341,199) (718,434) 211 1 (471,253)
13 3 444 200 (341,199) (718,434) 221 1 (503,271)
13 3 444 200 (341,199) (718,434) 237 1 (536,288)
13 3 444 200 (341,199) (718,434) 257 1 (590,317)
13 3 444 200 (341,199) (718,434) 278 1 (629,341)
13 3 444 200 (341,199) (718,434) 285 1 (629,341)
13 3 444 200 (341,199) (718,434) 305 1 (657,357)
13 3 444 200 (341,199) (718,434) 315 1 (666,362)
13 3 444 200 (341,199) (718,434) 331 1 (673,365)
13 3 444 200 (341,199) (718,434) 350 1 (680,368)
13 3 444 200 (341,199) (718,434) 370 1 (682,369)
13 3 444 200 (341,199) (718,434) 377 1 (683,369)
13 3 444 200 (341,199) (718,434) 408 1 (684,370)
13 3 444 200 (341,199) (718,434) 424 1 (685,371)
13 3 444 200 (341,199) (718,434) 444 1 (685,371)
13 3 444 200 (341,199) (718,434) 464 1 (686,371)
13 3 444 200 (341,199) (718,434) 471 1 (686,371)
13 3 444 200 (341,199) (718,434) 491 1 (686,371)
13 3 444 200 (341,199) (718,434) 520 1 (694,374)
13 3 444 200 (341,199) (718,434) 538 1 (697,376)
13 3 444 200 (341,199) (718,434) 558 1 (699,379)
13 3 444 200 (341,199) (718,434) 564 1 (699,379)
13 3 444 200 (341,199) (718,434) 584 1 (699,379)
13 3 444 200 (341,199) (718,434) 604 1 (699,379)
13 3 444 200 (341,199) (718,434) 613 1 (699,379)
13 3 444 200 (341,199) (718,434) 632 1 (699,379)
13 3 444 200 (341,199) (718,434) 642 1 (699,379)
13 3 444 200 (341,199) (718,434) 659 1 (699,379)
13 3 444 200 (341,199) (718,434) 674 1 (699,379)
13 3 444 200 (341,199) (718,434) 694 1 (699,379)
13 3 444 200 (341,199) (718,434) 705 1 (699,379)
13 3 444 200 (341,199) (718,434) 725 1 (699,379)
13 3 444 200 (341,199) (718,434) 736 1 (699,379)
13 3 444 200 (341,199) (718,434) 752 1 (699,379)
13 3 444 200 (341,199) (718,434) 774 1 (699,379)
13 3 444 200 (341,199) (718,434) 792 1 (699,379)
13 3 444 200 (341,199) (718,434) 798 1 (699,379)
13 3 444 200 (341,199) (718,434) 818 1 (699,379)
13 3 444 200 (341,199) (718,434) 838 1 (699,379)
13 3 444 200 (341,199) (718,434) 847 1 (699,379)
13 3 444 200 (341,199) (718,434) 867 1 (699,379)
13 3 444 200 (341,199) (718,434) 876 1 (699,379)
13 3 444 200 (341,199) (718,434) 892 1 (699,379)
13 3 444 200 (341,199) (718,434) 912 1 (699,379)
13 3 444 200 (341,199) (718,434) 932 1 (699,379)
13 3 444 200 (341,199) (718,434) 939 1 (699,379)
13 3 444 200 (341,199) (718,434) 942 1 (699,379) ß-- cursor position when the target is clicked
13 4 555 200 (738,431) (194,322) 5 1 (741,429) ß-- cursor position when the start button is clicked.
13 4 555 200 (738,431) (194,322) 19 1 (741,429)
13 4 555 200 (738,431) (194,322) 40 1 (741,429)
13 4 555 200 (738,431) (194,322) 53 1 (740,429)
13 4 555 200 (738,431) (194,322) 71 1 (727,425)
13 4 555 200 (738,431) (194,322) 81 1 (727,425)
13 4 555 200 (738,431) (194,322) 97 1 (684,416)
13 4 555 200 (738,431) (194,322) 113 1 (653,409)
13 4 555 200 (738,431) (194,322) 128 1 (615,402)
13 4 555 200 (738,431) (194,322) 144 1 (544,391)
13 4 555 200 (738,431) (194,322) 164 1 (508,385)
13 4 555 200 (738,431) (194,322) 184 1 (441,374)
13 4 555 200 (738,431) (194,322) 190 1 (441,374)
13 4 555 200 (738,431) (194,322) 210 1 (386,366)
13 4 555 200 (738,431) (194,322) 230 1 (346,360)
13 4 555 200 (738,431) (194,322) 239 1 (346,360)
13 4 555 200 (738,431) (194,322) 258 1 (326,357)
13 4 555 200 (738,431) (194,322) 268 1 (319,356)
13 4 555 200 (738,431) (194,322) 285 1 (315,356)
13 4 555 200 (738,431) (194,322) 304 1 (307,354)
13 4 555 200 (738,431) (194,322) 333 1 (301,353)
13 4 555 200 (738,431) (194,322) 348 1 (299,353)
13 4 555 200 (738,431) (194,322) 363 1 (293,353)
13 4 555 200 (738,431) (194,322) 378 1 (288,352)
13 4 555 200 (738,431) (194,322) 398 1 (277,350)
13 4 555 200 (738,431) (194,322) 425 1 (268,348)
13 4 555 200 (738,431) (194,322) 440 1 (266,347)
13 4 555 200 (738,431) (194,322) 460 1 (265,346)
13 4 555 200 (738,431) (194,322) 471 1 (265,346)
13 4 555 200 (738,431) (194,322) 491 1 (265,346)
13 4 555 200 (738,431) (194,322) 511 1 (265,346)
13 4 555 200 (738,431) (194,322) 520 1 (265,346)
13 4 555 200 (738,431) (194,322) 540 1 (265,346)
13 4 555 200 (738,431) (194,322) 549 1 (265,346)
13 4 555 200 (738,431) (194,322) 565 1 (265,346)
13 4 555 200 (738,431) (194,322) 585 1 (265,346)
13 4 555 200 (738,431) (194,322) 605 1 (265,346)
13 4 555 200 (738,431) (194,322) 612 1 (265,346)
13 4 555 200 (738,431) (194,322) 632 1 (265,346)
13 4 555 200 (738,431) (194,322) 652 1 (265,346)
13 4 555 200 (738,431) (194,322) 658 1 (265,346)
13 4 555 200 (738,431) (194,322) 678 1 (265,346)
13 4 555 200 (738,431) (194,322) 698 1 (265,346)
13 4 555 200 (738,431) (194,322) 706 1 (265,346)
13 4 555 200 (738,431) (194,322) 726 1 (265,346)
13 4 555 200 (738,431) (194,322) 736 1 (265,346)
13 4 555 200 (738,431) (194,322) 752 1 (265,346)
13 4 555 200 (738,431) (194,322) 772 1 (265,346)
13 4 555 200 (738,431) (194,322) 792 1 (265,346)
13 4 555 200 (738,431) (194,322) 801 1 (265,346)
13 4 555 200 (738,431) (194,322) 815 1 (265,346)
13 4 555 200 (738,431) (194,322) 834 1 (265,346)
13 4 555 200 (738,431) (194,322) 846 1 (265,346)
13 4 555 200 (738,431) (194,322) 866 1 (265,346)
13 4 555 200 (738,431) (194,322) 872 1 (265,346) ß-- cursor position when the target is clicked
13 5 555 200 (888,519) (386,281) 14 1 (880,508) ß-- cursor position when the start button is clicked.
13 5 555 200 (888,519) (386,281) 26 1 (880,508)
13 5 555 200 (888,519) (386,281) 42 1 (880,508)
13 5 555 200 (888,519) (386,281) 62 1 (880,508)
13 5 555 200 (888,519) (386,281) 72 1 (880,508)
13 5 555 200 (888,519) (386,281) 89 1 (880,508)
13 5 555 200 (888,519) (386,281) 103 1 (864,497)
13 5 555 200 (888,519) (386,281) 123 1 (806,470)
13 5 555 200 (888,519) (386,281) 135 1 (775,455)
13 5 555 200 (888,519) (386,281) 154 1 (748,442)
13 5 555 200 (888,519) (386,281) 174 1 (692,419)
13 5 555 200 (888,519) (386,281) 182 1 (666,410)
13 5 555 200 (888,519) (386,281) 202 1 (644,401)
13 5 555 200 (888,519) (386,281) 212 1 (627,393)
13 5 555 200 (888,519) (386,281) 244 1 (595,380)
13 5 555 200 (888,519) (386,281) 296 1 (567,370)
13 5 555 200 (888,519) (386,281) 306 1 (559,366)
13 5 555 200 (888,519) (386,281) 322 1 (550,363)
13 5 555 200 (888,519) (386,281) 342 1 (535,356)
13 5 555 200 (888,519) (386,281) 364 1 (516,348)
13 5 555 200 (888,519) (386,281) 368 1 (516,348)
13 5 555 200 (888,519) (386,281) 388 1 (498,340)
13 5 555 200 (888,519) (386,281) 408 1 (490,336)
13 5 555 200 (888,519) (386,281) 417 1 (482,333)
13 5 555 200 (888,519) (386,281) 436 1 (469,329)
13 5 555 200 (888,519) (386,281) 446 1 (469,329)
13 5 555 200 (888,519) (386,281) 462 1 (459,326)
13 5 555 200 (888,519) (386,281) 502 1 (451,323)
13 5 555 200 (888,519) (386,281) 510 1 (450,322)
13 5 555 200 (888,519) (386,281) 530 1 (449,322)
13 5 555 200 (888,519) (386,281) 540 1 (448,322)
13 5 555 200 (888,519) (386,281) 556 1 (447,322)
13 5 555 200 (888,519) (386,281) 576 1 (446,322)
13 5 555 200 (888,519) (386,281) 596 1 (446,322)
13 5 555 200 (888,519) (386,281) 603 1 (446,322)
13 5 555 200 (888,519) (386,281) 618 1 (446,322)
13 5 555 200 (888,519) (386,281) 635 1 (446,322)
13 5 555 200 (888,519) (386,281) 651 1 (446,322)
13 5 555 200 (888,519) (386,281) 670 1 (446,322)
13 5 555 200 (888,519) (386,281) 680 1 (446,322)
13 5 555 200 (888,519) (386,281) 696 1 (446,322)
13 5 555 200 (888,519) (386,281) 716 1 (446,322)
13 5 555 200 (888,519) (386,281) 737 1 (446,322)
13 5 555 200 (888,519) (386,281) 744 1 (446,322)
13 5 555 200 (888,519) (386,281) 764 1 (446,322)
13 5 555 200 (888,519) (386,281) 775 1 (446,322)
13 5 555 200 (888,519) (386,281) 790 1 (446,322)
13 5 555 200 (888,519) (386,281) 810 1 (446,322)
13 5 555 200 (888,519) (386,281) 830 1 (446,322)
13 5 555 200 (888,519) (386,281) 839 1 (446,322)
13 5 555 200 (888,519) (386,281) 856 1 (446,322)
13 5 555 200 (888,519) (386,281) 876 1 (446,322)
13 5 555 200 (888,519) (386,281) 883 1 (446,322)
13 5 555 200 (888,519) (386,281) 903 1 (446,322)
13 5 555 200 (888,519) (386,281) 923 1 (446,322)
13 5 555 200 (888,519) (386,281) 931 1 (446,322)
13 5 555 200 (888,519) (386,281) 951 1 (446,322)
13 5 555 200 (888,519) (386,281) 957 1 (446,322) ß-- cursor position when the target is clicked
13 6 555 100 (609,356) (77,195) 13 1 (607,348) ß-- cursor position when the start button is clicked.
13 6 555 100 (609,356) (77,195) 20 1 (607,348)
13 6 555 100 (609,356) (77,195) 34 1 (607,348)
13 6 555 100 (609,356) (77,195) 53 1 (607,348)
13 6 555 100 (609,356) (77,195) 65 1 (607,348)
13 6 555 100 (609,356) (77,195) 85 1 (607,348)
13 6 555 100 (609,356) (77,195) 105 1 (607,348)
